Data Year,ID,Property Name,Reporting Status,Address,ZIP Code,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,Water Use (kGal),ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location,Row_ID
2023,236382,Randolph Place Residences Condominium Association,Submitted,165 N Canal Street,60606,4.0,,Near West Side,Multifamily Housing,749100,1922,1,,98,10214430.8,22340484.2,,,,43.5,69.5,48.9,74.9,2615.8,3.5,41.904275,-87.634642,POINT (-87.634642 41.904275),2023-236382
2023,103651,425 South Financial,Submitted,425 South Financial Place (440 South Lasalle),60605,2.5,,Loop,Office,1237300,1984,1,18296,56,76396345.4,109295.8,,,,61.8,173,63.1,176.4,10695.2,8.6,41.902212,-87.748845,POINT (-87.748845 41.902212),2023-103651
2023,102825,,Not Submitted,4510 4518 N Ashland Ave,60640,0.0,,Uptown,Residential,,,,,,,,,,,,,,,,,41.787886,-87.598884,POINT (-87.598884 41.787886),2023-102825
2023,250161,Northwest Armory,Submitted,1551 North Kedzie,60651,3.0,,West Town,Other,204256,1940,1,,,4223628.2,8177879.3,,,,60.7,99.9,67,106.6,1025.3,5,41.896316,-87.640191,POINT (-87.640191 41.896316),2023-250161
2023,158406,65 E Wacker Place,Submitted,65 E Wacker Place,60601,3.5,,Loop,Office,249062,1928,1,1464,79,4315111.4,8019320.2,,4355460,,67,98.2,72.7,104.3,1259.2,5.1,41.969187,-87.655734,POINT (-87.655734 41.969187),2023-158406
2023,108602,C/S Lathrop Limited Partnership,Submitted,2717 N Leavitt St,60647,2.5,,Lincoln Park,Multifamily Housing,70732,1990,1,,55,1349656.6,4765616,,,,86.5,124.2,94.8,132.7,442,6.2,41.882402,-87.761285,POINT (-87.761285 41.882402),2023-108602
2023,241042,100 E Walton St,Submitted,100 E Walton St,60611,3.5,,Near North Side,Mixed Use Property,367703,1971,1,,51,10478877.4,24740753.7,,,,95.8,150.4,103.9,158.4,2780.3,7.6,41.863514,-87.625594,POINT (-87.625594 41.863514),2023-241042
2023,256783,5252,Submitted,5252 S Cornell Ave,60615,4.0,,Hyde Park,Multifamily Housing,337624,2020,1,,,7216939.8,5590499.9,,,,37.9,77.2,41.5,82.8,1306.7,3.9,41.983365,-87.65675,POINT (-87.65675 41.983365),2023-256783
2023,256900,320 N Sangamon,Submitted,320 North Sangamon,60607,4.0,,Near West Side,Office,309985,2021,1,3440,91,6550188.7,6663855.2,,,,42.6,81.7,45.4,85.3,1270.4,4.1,41.881329,-87.66805,POINT (-87.66805 41.881329),2023-256900
2023,250057,ENGLEWOOD HEALTH CENTER,Submitted,641 W. 63rd St.,60621,1.0,,Englewood,Outpatient Rehabilitation/Physical Therapy,54189,1972,1,,,2423304,3275117.2,,,,105.2,188.7,114.2,198.6,513,9.5,41.857352,-87.623774,POINT (-87.623774 41.857352),2023-250057
2023,171956,,Not Covered 2024,465 W Cermak Rd,60616,,true,Armour Square,Commercial,,,,,,,,,,,,,,,,,41.852179,-87.639897,POINT (-87.639897 41.852179),2023-171956
2023,101813,150 North Michigan,Submitted,150 North Michigan Avenue,60601,3.5,,Loop,Office,708981,1984,1,,75,29044493.7,9768.4,,,,41,114.7,44.3,124,4064.4,5.7,41.798029,-87.602463,POINT (-87.602463 41.798029),2023-101813
2023,251515,Calhoun North -CPS,Not Covered 2024,2801 W Adams,60612,,true,East Garfield Park,K-12 School,,,,,,,,,,,,,,,,,41.879115,-87.632137,POINT (-87.632137 41.879115),2023-251515
2023,103664,Northern Trust HeadOuarters,Submitted,50 S. Lasalle,60603,4.0,,Loop,Financial Office,584000,1963,1,3258,74,21253850.4,16626013.8,,,,64.9,131.8,70.1,137.1,3856.9,6.6,41.939776,-87.638654,POINT (-87.638654 41.939776),2023-103664
2023,256424,Stuart Building,Not Submitted,10 W 31st Street,60616,0.0,,Douglas,Commercial,,,,,,,,,,,,,,,,,41.744881,-87.550187,POINT (-87.550187 41.744881),2023-256424
2023,256409,8793,Submitted,310 E Superior St,60611,1.0,,Near North Side,College/University,61179,1955,1,,,3997519.4,8307039.6,,,,201.1,325.5,207.6,332.4,1000.6,16.4,41.905215,-87.63017,POINT (-87.63017 41.905215),2023-256409
2023,257113,,Not Covered 2024,210 N Aberdeen St,60607,,true,Near West Side,Residential,,,,,,,,,,,,,,,,,41.886001,-87.654853,POINT (-87.654853 41.886001),2023-257113
2023,105673,Holiday Inn Downtown Chicago,Submitted,506 W Harrison St.,60607,1.5,,Near West Side,Hotel,74314,1967,1,,40,4001067.9,5419875.8,,,,126.8,227.3,139.1,240.3,847.7,11.4,42.005618,-87.660786,POINT (-87.660786 42.005618),2023-105673
2023,103594,NBC Tower,Submitted,455 North Cityfront Plaza Drive,60611,2.5,,Near North Side,Office,939350,1988,1,10629,58,78614632.1,,,,,83.7,234.3,86.9,243.2,10999.7,11.7,41.838406,-87.627155,POINT (-87.627155 41.838406),2023-103594
2023,250047,Julian HS -CPS,Not Covered 2024,10330 S Elizabeth St,60643,,true,Washington Heights,K-12 School,,,,,,,,,,,,,,,,,41.889284,-87.626549,POINT (-87.626549 41.889284),2023-250047
2023,160130,One11 West Illinois,Submitted,111 W. Illinois St.,60654,2.5,,Near North Side,Office,242035,2008,1,4157,58,14187993.2,680113.9,,,,61.4,167.1,64.1,174.6,2021.3,8.4,41.911706,-87.734873,POINT (-87.734873 41.911706),2023-160130
2023,106101,Wrightwood II LLC,Submitted,443 W Wrightwood Ave,60614,3.5,,Lincoln Park,Multifamily Housing,90140,1928,1,,74,1507973.7,7110282.8,,,,95.6,129.7,104.8,138.9,588.7,6.5,41.920371,-87.648441,POINT (-87.648441 41.920371),2023-106101
2023,251636,Gresham Elementary -CPS,Not Covered 2024,8524 S Green St,60620,,true,Auburn Gresham,K-12 School,,,,,,,,,,,,,,,,,41.738835,-87.645216,POINT (-87.645216 41.738835),2023-251636
2023,174209,Superior at LaSalle,Submitted,150 W Superior St.,60654,1.5,,Near North Side,Multifamily Housing,92450,2006,1,,38,3170758.1,4492146.1,,,,82.9,147.1,100.9,166,682.3,7.4,41.942543,-87.813168,POINT (-87.813168 41.942543),2023-174209
2023,125013,,Not Submitted,122 160 W 79th St,60620,0.0,,Greater Grand Crossing,Commercial,,,,,,,,,,,,,,,,,41.876621,-87.648514,POINT (-87.648514 41.876621),2023-125013
2023,256527,Hilton Garden Inn,Not Submitted,55 E 11th St,60605,0.0,,Loop,,,,,,,,,,,,,,,,,,41.797522,-87.705043,POINT (-87.705043 41.797522),2023-256527
2023,173642,230 East Ohio,Submitted,230 East Ohio Street,60611,2.0,,Near North Side,Office,71298,1917,1,,48,2397136.4,2996228,,,,75.6,138.3,75.6,138.3,494.6,6.9,41.841984,-87.617054,POINT (-87.617054 41.841984),2023-173642
2023,105233,Loyola Beach Apartments,Not Submitted,7064  N Sheridan Rd,60626,0.0,,Rogers Park,Residential,,,,,,,,,,,,,,,,,41.90845,-87.626068,POINT (-87.626068 41.90845),2023-105233
2023,175867,Six Corners Plaza,Not Submitted,3970 - 3982 N Milwaukee Ave,60641,0.0,,Portage Park,Strip Mall,,,,,,,,,,,,,,,,,41.754654,-87.557185,POINT (-87.557185 41.754654),2023-175867
2023,251700,Haugan,Submitted,4540 N Hamlin Ave,60625,2.0,,Albany Park,K-12 School,137971,1911,2,,47,2302117.4,8592220.3,,,,79,112.1,95.4,129.3,778.5,5.6,41.898489,-87.624553,POINT (-87.624553 41.898489),2023-251700
2023,101978,,Not Submitted,42 46 N Waller Ave,60644,0.0,,Austin,Residential,,,,,,,,,,,,,,,,,41.84298,-87.631951,POINT (-87.631951 41.84298),2023-101978
2023,251274,,Not Submitted,320 322 W Oakdale Ave,60657,0.0,,Lake View,Residential,,,,,,,,,,,,,,,,,41.880679,-87.624491,POINT (-87.624491 41.880679),2023-251274
2023,160134,"Charles A Beckett Associates, LP",Not Submitted,400 E 41st St,60653,0.0,,Grand Boulevard,Multifamily Housing,,,,,,,,,,,,,,,,,41.893479,-87.622218,POINT (-87.622218 41.893479),2023-160134
2023,119349,Pete's Pulaski,Submitted,4343 S. Pulaski,60632,1.0,,Archer Heights,Supermarket/Grocery Store,56000,2003,0,,22,10552361.2,8663207,,,,343.1,690.1,357.1,707,1936.6,34.6,41.830838,-87.614625,POINT (-87.614625 41.830838),2023-119349
2023,251222,2229 South Halsted,Submitted,2229 South Halsted Street,60608,3.5,,Lower West Side,Office,85007,1908,1,,59,3911712.4,349.9,,,,46,128.9,47.8,133.8,547.3,6.4,41.879224,-87.653584,POINT (-87.653584 41.879224),2023-251222
2023,254996,Fletcher Jones Chicago Service (Audi),Not Submitted,1521 W North Ave,60642,0.0,,West Town,,,,,,,,,,,,,,,,,,41.850973,-87.627189,POINT (-87.627189 41.850973),2023-254996
2023,100631,Hubbard HS,Submitted,6200 S Hamlin Ave,60629,2.0,,West Lawn,K-12 School,218200,1929,3,,45,3733673.3,16435879.5,,,,92.4,127,106.1,141.4,1395.4,6.4,41.927322,-87.652506,POINT (-87.652506 41.927322),2023-100631
2023,251463,Lincoln,Submitted,615 W Kemper Pl,60614,3.0,,Lincoln Park,K-12 School,115536,1894,3,,66,2089232.4,3722980,,,,50.3,84.5,58.3,92.8,490.1,4.2,41.992473,-87.655312,POINT (-87.655312 41.992473),2023-251463
2023,238367,1300 Lake Shore Drive Condominium Association,Submitted,1300 N Lake Shore Dr,60610,2.0,,Near North Side,Multifamily Housing,365977,1963,1,,42,10099019.8,19334971.5,,,,80.4,132.7,86.5,138.1,2440,6.7,41.941082,-87.640196,POINT (-87.640196 41.941082),2023-238367
2023,112724,6119 6125 N Winchester,Submitted,6119-6125 N Winchester Ave,60660,2.0,,West Ridge,Multifamily Housing,57600,1951,1,,25,1218315.2,5366400,,,,114.3,157,131.2,175.3,455.5,7.9,41.803192,-87.611959,POINT (-87.611959 41.803192),2023-112724
2023,251286,101 Grand,Submitted,101 W. Grand Ave.,60654,1.5,,Near North Side,Office,61971,1872,1,,38,1985534.9,5975299.9,,,,128.5,191,132.6,196.8,595.2,9.6,41.918672,-87.666625,POINT (-87.666625 41.918672),2023-251286
2023,252323,Paul G. Stewart Apartments Phase III,Not Submitted,401 E Bowen Ave,60653,0.0,,Grand Boulevard,Residential,,,,,,,,,,,,,,,,,41.821377,-87.606395,POINT (-87.606395 41.821377),2023-252323
2023,232398,(IL1050) - The Carlyle Apartments Condo (1040 N Lake Shore Dr ),Submitted,1040 N Lake Shore Dr,60611,3.0,,Near North Side,Multifamily Housing,502995,1964,1,,68,16129420.3,6169953.8,,,,44.3,102.7,47.9,111.3,2584.5,5.1,41.890382,-87.634185,POINT (-87.634185 41.890382),2023-232398
2023,101736,71 South Wacker,Submitted,71 S. Wacker Drive,60606,4.0,,Loop,Office,1684534,2005,1,,88,68805585.3,533177.8,,,,41.2,114.7,44.8,125,9655.6,5.7,41.923922,-87.657347,POINT (-87.657347 41.923922),2023-101736
2023,257087,,Not Covered 2024,3431 N Ashland Ave,60657,,true,Lake View,Commercial,,,,,,,,,,,,,,,,,41.944394,-87.668408,POINT (-87.668408 41.944394),2023-257087
2023,114252,607 Wrightwood Condominium Association,Submitted,607 W. Wrightwood Ave.,60614,3.0,,Lincoln Park,Multifamily Housing,72000,1974,1,,63,1612264.6,4865292.1,,,,90,133.7,97.7,141.3,484,6.7,41.888166,-87.639815,POINT (-87.639815 41.888166),2023-114252
2023,160395,Aztec Condominium,Not Submitted,305 W Fullerton Pkwy,60614,0.0,,Lincoln Park,Commercial,,,,,,,,,,,,,,,,,41.909996,-87.627476,POINT (-87.627476 41.909996),2023-160395
2023,256457,Lathrop - S101,Submitted,2737 N Hoyne Avenue,60647,1.0,,Lincoln Park,Multifamily Housing,69874,2019,1,3444,13,3011460.2,2824796,,,,83.5,163.1,88.1,168,571.4,8.2,41.884646,-87.617248,POINT (-87.617248 41.884646),2023-256457
2023,107970,Taylor Park,Submitted,41 W 47th St,60609,4.0,,Grand Boulevard,Other,150000,1964,1,,,943393.9,2712699.9,,,,24.4,36.6,27.5,39.8,276.1,1.8,41.964402,-87.654923,POINT (-87.654923 41.964402),2023-107970
2023,103677,150 North Riverside Plaza,Submitted,150 N. Riverside Plaza,60606,4.0,,Near West Side,Office,1487050,2017,1,,68,63680212.9,1611198.7,,29192878.4,,63.5,138.9,65.5,146.4,10534.2,7.1,41.921225,-87.637998,POINT (-87.637998 41.921225),2023-103677
2023,175521,Harper Center Apartments,Not Submitted,5460 5470 S Harper Ave,60615,0.0,,Hyde Park,Residential,,,,,,,,,,,,,,,,,41.960687,-87.650027,POINT (-87.650027 41.960687),2023-175521
2023,251680,Bond,Submitted,7050 S May St,60621,2.5,,Englewood,K-12 School,104126,1926,2,,51,1722050,5969990.2,,,,73.9,106.5,83.6,116.6,558,5.4,41.879087,-87.648507,POINT (-87.648507 41.879087),2023-251680
2023,250034,Broadway Armory,Not Submitted,5917 N Broadway Ave,60660,0.0,,Edgewater,Other - Recreation,,,,,,,,,,,,,,,,,41.926893,-87.639311,POINT (-87.639311 41.926893),2023-250034
2023,174204,The Morgan at Loyola Station (tg80),Submitted,1209 W Arthur Ave,60626,2.0,,Rogers Park,Multifamily Housing,160008,2009,2,8880,43,4833166.2,5465612.4,,,,64.4,120.4,69.3,125.6,966.6,6,41.909399,-87.653051,POINT (-87.653051 41.909399),2023-174204
2023,103656,"theMART, Chicago",Submitted,222 Merchandise Mart Plaza,60654,,true,Near North Side,Office,4131093,1930,1,18132,,92238712,73046757.1,,35019072.2,,48.5,88.8,51.9,92.5,18631.4,4.5,41.883748,-87.636662,POINT (-87.636662 41.883748),2023-103656
2023,175431,5123-5135 S. University Ave.,Submitted,5123-5135 S. University Ave.,60615,3.5,,Hyde Park,Multifamily Housing,58358,1924,1,,73,371886.9,2957752.6,,,,57.1,71.1,63,77.4,209.1,3.6,41.899255,-87.627835,POINT (-87.627835 41.899255),2023-175431
2023,102408,Mundelein Center- ID#102408,Submitted,1020 W Sheridan Rd,60626,2.0,,Rogers Park,College/University,206160,1930,1,6085,,8232234.6,11854560.1,,,,97.4,172.2,109.6,185,1781.5,8.6,41.754884,-87.732222,POINT (-87.732222 41.754884),2023-102408
2023,229057,Park View Towers Condominium Association,Submitted,2740 N Pine Grove Ave,60614,1.0,,Lincoln Park,Multifamily Housing,86222,1975,1,,12,5530044.5,1684076.2,,,,83.7,200.1,93.8,220.9,863.2,10,41.86604,-87.726724,POINT (-87.726724 41.86604),2023-229057
2023,251244,3520 Lake Shore Drive Condominium Association,Submitted,3520 N. Lake Shore Drive,60657,4.0,,Lake View,Multifamily Housing,267464,1924,1,,90,2702415.2,12905212.7,,,,58.4,79,64.9,85.6,1063.6,4,41.884751,-87.615604,POINT (-87.615604 41.884751),2023-251244
2023,250088,Harry J. Schneider Apartments,Submitted,1750 W. Peterson Ave,60660,2.5,,Edgewater,Multifamily Housing,111293,1977,1,,60,2313512.5,8100800.1,,,,93.6,134.6,104,145.4,754,6.8,41.959691,-87.649999,POINT (-87.649999 41.959691),2023-250088
2023,160448,606 E Woodland Park Avenue,Submitted,606 E Woodland Park Avenue,60612,3.0,,Douglas,Multifamily Housing,101941,1989,1,,67,4188331.3,6185138.5,,,,101.8,178.7,113.2,191.6,888.5,8.7,41.906671,-87.696825,POINT (-87.696825 41.906671),2023-160448
